epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7767,2.09128,3.58516,2.08865,0.00887,0.21577,0.07061,0.02079,2.26312,3.87451,2.33285,5.716e-05,5.716e-05,5.716e-05
2,44.2222,2.00363,3.41801,1.91772,0.01312,0.28423,0.09334,0.03176,2.22584,3.7196,2.00597,0.000122244,0.000122244,0.000122244
3,65.3496,2.05031,2.9865,1.77605,0.01591,0.34077,0.16071,0.04852,2.26597,3.52404,1.78583,0.000180254,0.000180254,0.000180254
4,86.2964,2.00681,2.57427,1.66001,0.01713,0.37351,0.21894,0.07042,2.27024,3.35517,1.72169,0.000231191,0.000231191,0.000231191
5,107.404,2.00615,2.25654,1.62416,0.74503,0.19792,0.27578,0.08559,2.26733,3.14947,1.70338,0.000275054,0.000275054,0.000275054
6,128.458,1.95384,2.03756,1.59022,0.80464,0.14948,0.34537,0.11322,2.25779,3.0524,1.66596,0.000311844,0.000311844,0.000311844
7,151.287,1.91067,1.87544,1.56475,0.7752,0.18698,0.31734,0.10832,2.31769,3.05652,1.72609,0.00034156,0.00034156,0.00034156
8,174.234,1.80275,1.75545,1.5611,0.77695,0.2381,0.3436,0.10078,2.30847,2.96791,1.75215,0.000364202,0.000364202,0.000364202
9,197.772,1.84427,1.74544,1.56757,0.71144,0.26617,0.33316,0.11369,2.2984,2.84569,1.76297,0.000379771,0.000379771,0.000379771
10,221.779,1.78173,1.63552,1.54387,0.67796,0.2597,0.3234,0.10612,2.40649,2.8344,1.8582,0.000388266,0.000388266,0.000388266
11,244.115,1.78132,1.77129,1.56073,0.71351,0.24599,0.34364,0.10933,2.38065,2.82505,1.90729,0.000389688,0.000389688,0.000389688
12,266.726,1.71418,1.64901,1.51754,0.66521,0.2381,0.31989,0.1034,2.31751,2.85674,1.88249,0.000384037,0.000384037,0.000384037
13,287.733,1.68924,1.58796,1.48317,0.67806,0.24494,0.31452,0.12013,2.26187,2.85616,1.87578,0.000371311,0.000371311,0.000371311
14,308.486,1.6216,1.60507,1.46996,0.69011,0.25995,0.34771,0.11396,2.32603,2.76846,1.90827,0.000351513,0.000351513,0.000351513
15,329.813,1.61663,1.56075,1.47978,0.71402,0.25555,0.35311,0.10759,2.42153,2.66262,1.97709,0.00032464,0.00032464,0.00032464
16,350.689,1.54476,1.459,1.40647,0.63998,0.28571,0.37396,0.11327,2.42611,2.6004,1.9742,0.000290694,0.000290694,0.000290694
17,371.564,1.51756,1.38521,1.39527,0.62584,0.36386,0.4376,0.12861,2.44221,2.42876,1.96122,0.000249675,0.000249675,0.000249675
18,392.366,1.49196,1.40636,1.38485,0.62008,0.43151,0.48853,0.14084,2.46243,2.30961,1.95092,0.000201582,0.000201582,0.000201582
19,413.283,1.5018,1.38504,1.3878,0.61955,0.4451,0.47306,0.14206,2.49063,2.25496,1.96633,0.000146415,0.000146415,0.000146415
20,434.197,1.473,1.35567,1.34194,0.55609,0.44273,0.48601,0.13817,2.52599,2.16816,1.98003,8.41752e-05,8.41752e-05,8.41752e-05
